run IMDB with vanilla postgres
2: time consumption: 299941.362000 ms
0: time consumption: 1004026.627000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 1002031.695000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 993272.104000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 63100.291000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 100090.257000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 94693.578000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 667186.006000 ms
1: time consumption: 682652.263000 ms
2: time consumption: 676994.842000 ms
0: time consumption: 398770.471000 ms
1: time consumption: 387051.130000 ms
2: time consumption: 392331.267000 ms
0: time consumption: 410838.195000 ms
1: time consumption: 417051.953000 ms
2: time consumption: 390017.276000 ms
0: time consumption: 695212.566000 ms
1: time consumption: 693051.364000 ms
2: time consumption: 700409.195000 ms
0: time consumption: 741332.783000 ms
1: time consumption: 738890.624000 ms
2: time consumption: 740988.644000 ms
0: time consumption: 750176.396000 ms
1: time consumption: 763515.729000 ms
2: time consumption: 968648.873000 ms
0: time consumption: 247010.452000 ms
1: time consumption: 260085.187000 ms
2: time consumption: 249521.297000 ms
0: time consumption: 736252.219000 ms
1: time consumption: 747452.100000 ms
2: time consumption: 724228.804000 ms
0: time consumption: 487694.678000 ms
1: time consumption: 491906.762000 ms
2: time consumption: 482633.472000 ms
0: time consumption: 738771.101000 ms
1: time consumption: 726980.077000 ms
2: time consumption: 855649.326000 ms
0: time consumption: 702804.412000 ms
1: time consumption: 708518.889000 ms
2: time consumption: 708429.948000 ms
0: time consumption: 674707.063000 ms
1: time consumption: 668190.029000 ms
2: time consumption: 674592.235000 ms
0: time consumption: 33218.349000 ms
1: time consumption: 46038.636000 ms
2: time consumption: 35836.371000 ms
0: time consumption: 252379.022000 ms
1: time consumption: 257145.812000 ms
2: time consumption: 236095.394000 ms
0: time consumption: 196619.219000 ms
1: time consumption: 208567.848000 ms
2: time consumption: 184766.110000 ms
0: time consumption: 912324.389000 ms
1: time consumption: 873468.681000 ms
2: time consumption: 883264.917000 ms
0: time consumption: 405081.975000 ms
1: time consumption: 403327.341000 ms
2: time consumption: 382446.301000 ms
0: time consumption: 377154.748000 ms
1: time consumption: 374344.102000 ms
2: time consumption: 399896.413000 ms
0: time consumption: 1000203.425000 ms
1: time consumption: 15316.693000 ms
2: time consumption: 998217.026000 ms
0: time consumption: 803.613000 ms
ERROR:  no relation entry for relid 0
1: time consumption: 715.811000 ms
